Thu Jan 28 16:00:02 CET 2021
[92mTransaction '358fdcf62a88e470e13a68019592fc9a3ea7aa4e162928f69122f493fc0ab22d' sent to the baker.
[92mTransaction '1499386c48b8a696daaf06e887a68eb9f6aa80379bbe7b5167b8e42436ff3adf' sent to the baker.
[92mTransaction '626a724b21cbc769a398c91ad7694c6f11f047066ca8a1e474353df71dd222f4' sent to the baker.
[92mTransaction 'cf53da13825102c1305a312272448515c7451c7e83b49af632128a6a1a7ec96d' sent to the baker.
[92mTransaction 'f197ed0ba40e3d768f3853f417ae7b97f32973f8ab96e0472f6fac864907c2f3' sent to the baker.
[92mTransaction '76cb9d4c299495d014ca730f16f7be554295afe8b8755a278e1cde4d4fb2dffb' sent to the baker.
[92mTransaction 'a19420142223002c285d1ea91143e721f0f02469d4877b52c3b5ab2c46c129ca' sent to the baker.
[92mTransaction '4b9f6a16c368f2f1b3d297f8025df4e914761606aaa993c93024c55c2f44e996' sent to the baker.
[92mTransaction '1102ecd8ea62886cce86ec04b6de62ba3513deef433528a1549f6793243028a5' sent to the baker.
[92mTransaction 'f73e7565d9f3cae8ccfd0bb44fe8bf5abac4c30972351989be2f7da1117b0ce1' sent to the baker.
[92mTransaction '3d2e4cd520bae5667273aa57828941c7332dddbacc354c77f2d97a0593a92cc2' sent to the baker.
[92mTransaction '9f744395e59903f0be87a787f19d748b5e2f0e2e9a71aed079f8c201e5804d8d' sent to the baker.
[92mTransaction 'a61c5105efffe23e1ddf9d9dd9986dd0b04c31612aa33b236fc066bb1a9fcfde' sent to the baker.
[92mTransaction '5e92889f0c163822877b801bdb278ea8f9df8c7bf805aebb80c7a5d7d5e10119' sent to the baker.
[92mTransaction '7de51d70faa63aa7c442809c06520116d8f39b6e85547dce06cf427f9d94f281' sent to the baker.
[92mTransaction '91d31952cae26356a62c6fd7e21f8048a1a528460865b08ceb6ae9ac94881597' sent to the baker.
[92mTransaction 'd439217b465fa8e38a6b0ca995b97b5cac862efaac429141d268320796ebc2a5' sent to the baker.
[92mTransaction 'ceca7ea4b75b63cf29b3b6c23362c2558a78259f8efbf09044426a115f28dfbb' sent to the baker.
[92mTransaction 'efa9bdda4e3b9276e86848f02927a9109813258c566fc656d181f12caa014043' sent to the baker.
